id,set_id,element_type_id => ElementType.class_name
1,1,Element_OphCiExamination_History
2,2,Element_OphCiExamination_History
3,2,Element_OphCiExamination_VisualAcuity
4,2,Element_OphCiExamination_AnteriorSegment
5,2,Element_OphCiExamination_IntraocularPressure
6,2,Element_OphCiExamination_Conclusion
7,3,Element_OphCiExamination_History
8,3,Element_OphCiExamination_VisualAcuity
9,3,Element_OphCiExamination_Refraction
10,3,Element_OphCiExamination_AnteriorSegment
11,3,Element_OphCiExamination_IntraocularPressure
12,3,Element_OphCiExamination_PosteriorSegment
13,3,Element_OphCiExamination_Diagnoses
14,3,Element_OphCiExamination_Investigation
15,3,Element_OphCiExamination_Management
16,3,Element_OphCiExamination_Conclusion
17,4,Element_OphCiExamination_History
18,4,Element_OphCiExamination_VisualAcuity
19,4,Element_OphCiExamination_AnteriorSegment
20,4,Element_OphCiExamination_Investigation
21,4,Element_OphCiExamination_Conclusion
22,5,Element_OphCiExamination_History
23,5,Element_OphCiExamination_Conclusion
24,8,Element_OphCiExamination_History
25,8,Element_OphCiExamination_Refraction
26,8,Element_OphCiExamination_VisualAcuity
27,8,Element_OphCiExamination_AnteriorSegment
28,8,Element_OphCiExamination_IntraocularPressure
29,8,Element_OphCiExamination_Conclusion
