id,attribute_id,value
1,1,Amblyopia
2,1,blurred vision
3,1,difficulty with night driving
4,1,difficulty with reading
5,1,first post-op cataract follow up
6,1,follow up visit
7,1,glare
8,1,gradual deterioration of vision
9,1,history of Strabismus
10,1,new referral to cataract service
11,1,Pseudophakia
12,1,trauma
13,2,mild
14,2,moderate
15,2,severe
16,3,gradual onset
17,3,sudden onset
18,3,noticed by parent
19,3,noticed by optometrist
20,3,detected by diabetic screening
21,4,right eye
22,4,left eye
23,4,both eyes
24,4,right more than left
25,4,left more than right
26,5,1 day
27,5,2-3 days
28,5,1 week
29,5,2 weeks
30,5,1 month
31,5,6 months
32,7,Fluorescein angiography
33,7,OCT
34,7,refraction
35,7,ultrasound
36,8,booked for second eye
37,8,Cataract: Corneal disease limiting postoperative outcome
38,8,"Cataract: Early cataract, not for surgery at present"
39,8,Cataract: Glaucoma disease limiting postoperative outcome
40,8,Cataract: Macular disease limiting postoperative outcome
41,8,"Cataract: No significant cataract, surgery not required"
42,8,copy of clinical details provided for Optician
43,8,discharge
44,8,"discharge, to be reviewed as necessary via A&E or the GP"
45,8,glasses prescribed
46,8,good outcome from surgery listed for second eye
47,8,offer of surgery declined by patient
48,8,Optician: Review refraction with own optician
49,8,personal information leaflet provided to patient
50,8,removal of suture is done
51,8,satisfactory post operative progress
52,8,wean off topical medication
53,8,YAG laser capsulotomy was performed with no complications
54,9,blepharitis
55,9,blepharospasm
56,9,conjunctivitis
57,9,difficult access
58,9,ectropion
59,9,entropion
60,9,squint
61,10,listed for left cataract surgery under LA
62,10,listed for right cataract surgery under LA
63,10,patient managing well and not keen for surgery
64,10,wean off the medication
65,10,new glasses prescribed
66,10,good outcome from the first eye surgery and is booked for second eye
67,10,discharged with glasses
68,10,discharged with prescription for glasses
69,10,discharged and glasses not required
70,10,patient declined surgery
71,10,removal of suture at next visit
