id,set_id,element_type_id => ElementType.class_name
1,1,Element_OphCiExamination_History
2,2,Element_OphCiExamination_History
3,2,Element_OphCiExamination_Refraction
4,2,Element_OphCiExamination_VisualAcuity
5,2,Element_OphCiExamination_AnteriorSegment
6,2,Element_OphCiExamination_IntraocularPressure
7,2,Element_OphCiExamination_Conclusion
8,3,Element_OphCiExamination_History
9,3,Element_OphCiExamination_Refraction
10,3,Element_OphCiExamination_VisualAcuity
11,3,Element_OphCiExamination_AdnexalComorbidity
12,3,Element_OphCiExamination_AnteriorSegment
13,3,Element_OphCiExamination_IntraocularPressure
14,3,Element_OphCiExamination_PosteriorSegment
15,3,Element_OphCiExamination_Conclusion
16,3,Element_OphCiExamination_Diagnoses
17,3,Element_OphCiExamination_Management
18,4,Element_OphCiExamination_History
19,4,Element_OphCiExamination_Refraction
20,4,Element_OphCiExamination_VisualAcuity
21,4,Element_OphCiExamination_AnteriorSegment
22,4,Element_OphCiExamination_Investigation
23,4,Element_OphCiExamination_Conclusion
24,5,Element_OphCiExamination_History
25,5,Element_OphCiExamination_Refraction
26,5,Element_OphCiExamination_Conclusion
27,8,Element_OphCiExamination_History
28,8,Element_OphCiExamination_Refraction
29,8,Element_OphCiExamination_VisualAcuity
30,8,Element_OphCiExamination_AnteriorSegment
31,8,Element_OphCiExamination_IntraocularPressure
32,8,Element_OphCiExamination_Conclusion
