id,attribute_id,value
1,1,"Amblyopia"
2,1,"Pseudophakia"
3,1,"blurred vision"
4,1,"difficulty with night driving"
5,1,"difficulty with reading"
6,1,"first post-op cataract follow up"
7,1,"follow up visit"
8,1,"glare"
9,1,"gradual deterioration of vision"
10,1,"history of Strabismus"
11,1,"new referral to cataract service"
12,1,"trauma"
13,2,"mild"
14,2,"moderate"
15,2,"severe"
16,3,"detected by diabetic screening"
17,3,"gradual onset"
18,3,"noticed by optometrist"
19,3,"noticed by parent"
20,3,"sudden onset"
21,4,"both eyes"
22,4,"left eye"
23,4,"left more than right"
24,4,"right eye"
25,4,"right more than left"
26,5,"1 day"
27,5,"1 month"
28,5,"1 week"
29,5,"2 weeks"
30,5,"2-3 days"
31,5,"6 months"
32,7,"Fluorescein angiography"
33,7,"OCT"
34,7,"field test"
35,7,"refraction"
36,7,"ultrasound"
37,8,"Cataract: Corneal disease limiting postoperative outcome"
38,8,"Cataract: Early cataract, not for surgery at present"
39,8,"Cataract: Glaucoma disease limiting postoperative outcome"
40,8,"Cataract: Macular disease limiting postoperative outcome"
41,8,"Cataract: No significant cataract, surgery not required"
42,8,"Optician: Review refraction with own optician"
43,8,"YAG laser capsulotomy was performed with no complications"
44,8,"booked for first eye"
45,8,"booked for second eye"
46,8,"booked for surgery"
47,8,"copy of clinical details provided for Optician"
48,8,"discharge"
49,8,"discharge, to be reviewed as necessary via A&E or the GP"
50,8,"glasses prescribed"
51,8,"good outcome from surgery listed for second eye"
52,8,"offer of surgery declined by patient"
53,8,"personal information leaflet provided to patient"
54,8,"removal of suture is done"
55,8,"satisfactory post operative progress"
56,8,"wean off topical medication"
57,9,"blepharitis"
58,9,"blepharospasm"
59,9,"conjunctivitis"
60,9,"crusting of lashes"
61,9,"difficult access"
62,9,"discharge"
63,9,"dry eyes"
64,9,"ectropion"
65,9,"entropion"
66,9,"injected lid margins"
67,9,"lower lid ectropion"
68,9,"poor tear film"
69,9,"punctal ectropian"
70,9,"squint"
71,10,"discharged and glasses not required"
72,10,"discharged with glasses"
73,10,"discharged with prescription for glasses"
74,10,"good outcome from the first eye surgery and is booked for second eye"
75,10,"listed for left cataract surgery under LA"
76,10,"listed for right cataract surgery under LA"
77,10,"new glasses prescribed"
78,10,"patient declined surgery"
79,10,"patient managing well and not keen for surgery"
80,10,"removal of suture at next visit"
81,10,"wean off the medication"
