id,set_id,element_type_id => ElementType.class_name
1,1,Element_OphCiExamination_History
2,2,Element_OphCiExamination_History
3,2,Element_OphCiExamination_VisualAcuity
4,2,Element_OphCiExamination_AnteriorSegment
5,2,Element_OphCiExamination_IntraocularPressure
6,2,Element_OphCiExamination_Conclusion
7,3,Element_OphCiExamination_History
8,3,Element_OphCiExamination_VisualAcuity
9,3,Element_OphCiExamination_Refraction
10,3,Element_OphCiExamination_AdnexalComorbidity
11,3,Element_OphCiExamination_AnteriorSegment
12,3,Element_OphCiExamination_IntraocularPressure
13,3,Element_OphCiExamination_PosteriorSegment
14,3,Element_OphCiExamination_Diagnoses
15,3,Element_OphCiExamination_Investigation
16,3,Element_OphCiExamination_Management
17,3,Element_OphCiExamination_Conclusion
18,4,Element_OphCiExamination_History
19,4,Element_OphCiExamination_VisualAcuity
20,4,Element_OphCiExamination_AnteriorSegment
21,4,Element_OphCiExamination_Investigation
22,4,Element_OphCiExamination_Conclusion
23,5,Element_OphCiExamination_History
24,5,Element_OphCiExamination_Conclusion
25,8,Element_OphCiExamination_History
26,8,Element_OphCiExamination_Refraction
27,8,Element_OphCiExamination_VisualAcuity
28,8,Element_OphCiExamination_AnteriorSegment
29,8,Element_OphCiExamination_IntraocularPressure
30,8,Element_OphCiExamination_Conclusion
