id,attribute_id,value
1,1,"amblyopia"
2,1,"pseudophakia"
3,1,"blurred vision"
4,1,"difficulty with night driving"
5,1,"difficulty with reading"
6,1,"difficulty with road signs"
7,1,"first post-op cataract follow up"
8,1,"follow up visit"
9,1,"glare"
10,1,"glare with headlights"
11,1,"gradual deterioration of vision"
12,1,"history of Strabismus"
13,1,"new referral to cataract service"
14,1,"trauma"
15,2,"mild"
16,2,"moderate"
17,2,"severe"
18,3,"detected by diabetic screening"
19,3,"gradual onset"
20,3,"noticed by optometrist"
21,3,"noticed by parent"
22,3,"sudden onset"
23,4,"both eyes"
24,4,"left eye"
25,4,"left more than right"
26,4,"right eye"
27,4,"right more than left"
28,5,"1 day"
29,5,"1 month"
30,5,"1 week"
31,5,"2 weeks"
32,5,"2-3 days"
33,5,"6 months"
34,7,"Fluorescein angiography"
35,7,"OCT"
36,7,"field test"
37,7,"refraction"
38,7,"ultrasound"
39,8,"Cataract: Corneal disease limiting postoperative outcome"
40,8,"Cataract: Early cataract, not for surgery at present"
41,8,"Cataract: Glaucoma disease limiting postoperative outcome"
42,8,"Cataract: Macular disease limiting postoperative outcome"
43,8,"Cataract: No significant cataract, surgery not required"
44,8,"Optician: Review refraction with own optician"
45,8,"YAG laser capsulotomy was performed with no complications"
46,8,"booked for first eye"
47,8,"booked for second eye"
48,8,"booked for surgery"
49,8,"copy of clinical details provided for Optician"
50,8,"discharge"
51,8,"discharge, to be reviewed as necessary via A&E or the GP"
52,8,"glasses prescribed"
53,8,"good outcome from surgery listed for second eye"
54,8,"offer of surgery declined by patient"
55,8,"personal information leaflet provided to patient"
56,8,"removal of suture is done"
57,8,"satisfactory post operative progress"
58,8,"wean off topical medication"
59,9,"blepharitis"
60,9,"blepharospasm"
61,9,"conjunctivitis"
62,9,"crusting of lashes"
63,9,"difficult access"
64,9,"discharge"
65,9,"dry eyes"
66,9,"ectropion"
67,9,"entropion"
68,9,"injected lid margins"
69,9,"lower lid ectropion"
70,9,"poor tear film"
71,9,"punctal ectropian"
72,9,"squint"
73,10,"discharged and glasses not required"
74,10,"discharged with glasses"
75,10,"discharged with prescription for glasses"
76,10,"good outcome from the first eye surgery and is booked for second eye"
77,10,"listed for left cataract surgery under LA"
78,10,"listed for right cataract surgery under LA"
79,10,"new glasses prescribed"
80,10,"patient declined surgery"
81,10,"patient managing well and not keen for surgery"
82,10,"removal of suture at next visit"
83,10,"wean off the medication"
