id,set_id,element_type_id => ElementType.class_name
1,1,Element_OphCiExamination_History
2,2,Element_OphCiExamination_History
3,2,Element_OphCiExamination_VisualAcuity
4,2,Element_OphCiExamination_AnteriorSegment
5,2,Element_OphCiExamination_IntraocularPressure
6,2,Element_OphCiExamination_Conclusion
7,3,Element_OphCiExamination_History
8,3,Element_OphCiExamination_VisualAcuity
9,3,Element_OphCiExamination_Refraction
10,3,Element_OphCiExamination_AdnexalComorbidity
11,3,Element_OphCiExamination_AnteriorSegment
12,3,Element_OphCiExamination_IntraocularPressure
13,3,Element_OphCiExamination_PosteriorSegment
14,3,Element_OphCiExamination_Diagnoses
15,3,Element_OphCiExamination_Investigation
16,3,Element_OphCiExamination_Management
17,3,Element_OphCiExamination_CataractManagement
18,3,Element_OphCiExamination_Conclusion
19,4,Element_OphCiExamination_History
20,4,Element_OphCiExamination_VisualAcuity
21,4,Element_OphCiExamination_AnteriorSegment
22,4,Element_OphCiExamination_Investigation
23,4,Element_OphCiExamination_Conclusion
24,5,Element_OphCiExamination_History
25,5,Element_OphCiExamination_Conclusion
26,8,Element_OphCiExamination_History
27,8,Element_OphCiExamination_Refraction
28,8,Element_OphCiExamination_VisualAcuity
29,8,Element_OphCiExamination_AnteriorSegment
30,8,Element_OphCiExamination_IntraocularPressure
31,8,Element_OphCiExamination_Conclusion
32,9,Element_OphCiExamination_History
33,9,Element_OphCiExamination_VisualAcuity
34,9,Element_OphCiExamination_Refraction
35,9,Element_OphCiExamination_AdnexalComorbidity
36,9,Element_OphCiExamination_AnteriorSegment
37,9,Element_OphCiExamination_AnteriorSegment_CCT
38,9,Element_OphCiExamination_IntraocularPressure
39,9,Element_OphCiExamination_Investigation
40,9,Element_OphCiExamination_Management
41,9,Element_OphCiExamination_Conclusion
42,9,Element_OphCiExamination_OpticDisc
43,9,Element_OphCiExamination_Gonioscopy
