id,value,last_modified_user_id,last_modified_date,created_user_id,created_date,delimiter,subspecialty_id,attribute_element_id
2,'blurred vision',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
5,'difficulty with reading',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
8,'follow up visit',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
9,'glare',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
11,'gradual deterioration of vision',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
14,'pseudophakia',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,1
18,'mild',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
19,'moderate',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
20,'severe',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,2
22,'gradual onset',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
23,'noticed by optometrist',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
24,'noticed by parent',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
25,'sudden onset',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,3
26,'both eyes',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
27,'left eye',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
28,'left more than right',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
29,'right eye',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
30,'right more than left',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,4
31,'1 day',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
32,'1 month',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
33,'1 week',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
34,'2 weeks',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
35,'2-3 days',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
36,'6 months',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,5
39,'Fluorescein angiography',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
40,'OCT',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
41,'field test',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
42,'refraction',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
43,'ultrasound',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,6
49,'Optician: Review refraction with own optician',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
53,'booked for surgery',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
54,'copy of clinical details provided for Optician',1,'1900-01-01 00:00:00',1,'1900-01-01 00:00:00',',',NULL,7
